id,opsin_family,opsin_family__colour,latitude,longitude
Sp_ops1,op1,red,36.732969,-122.273410
Sp_ops2,op2,light blue,36.732969,-122.273410
Sp_ops3,op3,green,36.732969,-122.273410
Sp_ops5,op5,grey,36.732969,-122.273410
Sp_ops6,op6,yellow,36.732969,-122.273410
Sp_ops8,op8,purple,36.732969,-122.273410
Pminiata_ops1.1,op1,red,36.732969,-122.273410
Pminiata_ops1.2,op1,red,36.732969,-122.273410
Pminiata_ops1.3,op1,red,36.732969,-122.273410
Pminiata_ops3.1,op3,green,36.732969,-122.273410
Pminiata_ops4,op4,blue,36.732969,-122.273410
Pminiata_ops5,op5,grey,36.732969,-122.273410
Pminiata_ops6,op6,yellow,36.732969,-122.273410
Pminiata_ops7.1,op7,orange,36.732969,-122.273410
Pminiata_ops7.2,op7,orange,36.732969,-122.273410
Pminiata_ops8,op8,purple,36.732969,-122.273410
gbr.65.46.t1,op1,red,-18.287067,147.699188
gbr.65.45.t1,op1,red,-18.287067,147.699188
gbr.508.2.t1,op1,red,-18.287067,147.699188
gbr.176.5.t1,op4,blue,-18.287067,147.699188
gbr.176.10.t1,op5,grey,-18.287067,147.699188
gbr.31.87.t1,op6,yellow,-18.287067,147.699188
gbr.35.57.t1,op8,purple,-18.287067,147.699188
gbr.37.118.t1,op7,orange,-18.287067,147.699188
gbr.470.6.t1,op3,green,-18.287067,147.699188
gbr.212.22.t1,melatonin,white,-18.287067,147.699188
Sp-melatonin_1A,melatonin,white,36.732969,-122.273410
